State,County,Candidate,Party,Incumbent,Votes,Percentage,Winner,Delegates
Alabama,Autauga,Joe Biden,Democratic,Yes,1315,88.6%,Yes,52
Alabama,Autauga,Dean Phillips,Democratic,No,98,6.6%,No,0
Alabama,Autauga,Uncommitted,Democratic,No,72,4.8%,No,0
Alabama,Baldwin,Joe Biden,Democratic,Yes,2584,87.6%,Yes,52
Alabama,Baldwin,Uncommitted,Democratic,No,206,7.0%,No,0
Alabama,Baldwin,Dean Phillips,Democratic,No,160,5.4%,No,0
Alabama,Barbour,Joe Biden,Democratic,Yes,1342,86.2%,Yes,52
Alabama,Barbour,Uncommitted,Democratic,No,114,7.3%,No,0
Alabama,Barbour,Dean Phillips,Democratic,No,100,6.4%,No,0
Alabama,Bibb,Joe Biden,Democratic,Yes,330,87.5%,Yes,52
Alabama,Bibb,Dean Phillips,Democratic,No,28,7.4%,No,0
Alabama,Bibb,Uncommitted,Democratic,No,19,5.0%,No,0
Alabama,Blount,Joe Biden,Democratic,Yes,228,80.6%,Yes,52
Alabama,Blount,Uncommitted,Democratic,No,34,12.0%,No,0
Alabama,Blount,Dean Phillips,Democratic,No,21,7.4%,No,0
Alabama,Bullock,Joe Biden,Democratic,Yes,1517,83.9%,Yes,52
Alabama,Bullock,Uncommitted,Democratic,No,147,8.1%,No,0
Alabama,Bullock,Dean Phillips,Democratic,No,145,8.0%,No,0
Alabama,Butler,Joe Biden,Democratic,Yes,1082,92.6%,Yes,52
Alabama,Butler,Dean Phillips,Democratic,No,53,4.5%,No,0
Alabama,Butler,Uncommitted,Democratic,No,34,2.9%,No,0
Alabama,Calhoun,Joe Biden,Democratic,Yes,1889,90.3%,Yes,52
Alabama,Calhoun,Uncommitted,Democratic,No,108,5.2%,No,0
Alabama,Calhoun,Dean Phillips,Democratic,No,94,4.5%,No,0
Alabama,Chambers,Joe Biden,Democratic,Yes,692,91.2%,Yes,52
Alabama,Chambers,Uncommitted,Democratic,No,37,4.9%,No,0
Alabama,Chambers,Dean Phillips,Democratic,No,30,3.9%,No,0
Alabama,Cherokee,Joe Biden,Democratic,Yes,214,88.1%,Yes,52
Alabama,Cherokee,Uncommitted,Democratic,No,17,7.0%,No,0
Alabama,Cherokee,Dean Phillips,Democratic,No,12,4.9%,No,0
Alabama,Chilton,Joe Biden,Democratic,Yes,440,86.6%,Yes,52
Alabama,Chilton,Uncommitted,Democratic,No,41,8.1%,No,0
Alabama,Chilton,Dean Phillips,Democratic,No,27,5.3%,No,0
Alabama,Choctaw,Joe Biden,Democratic,Yes,809,95.0%,Yes,52
Alabama,Choctaw,Dean Phillips,Democratic,No,29,3.4%,No,0
Alabama,Choctaw,Uncommitted,Democratic,No,14,1.6%,No,0
Alabama,Clarke,Joe Biden,Democratic,Yes,1847,93.1%,Yes,52
Alabama,Clarke,Dean Phillips,Democratic,No,85,4.3%,No,0
Alabama,Clarke,Uncommitted,Democratic,No,52,2.6%,No,0
Alabama,Clay,Joe Biden,Democratic,Yes,331,85.3%,Yes,52
Alabama,Clay,Dean Phillips,Democratic,No,30,7.7%,No,0
Alabama,Clay,Uncommitted,Democratic,No,27,7.0%,No,0
Alabama,Cleburne,Joe Biden,Democratic,Yes,67,83.7%,Yes,52
Alabama,Cleburne,Uncommitted,Democratic,No,8,10.0%,No,0
Alabama,Cleburne,Dean Phillips,Democratic,No,5,6.2%,No,0
Alabama,Coffee,Joe Biden,Democratic,Yes,674,90.2%,Yes,52
Alabama,Coffee,Uncommitted,Democratic,No,40,5.4%,No,0
Alabama,Coffee,Dean Phillips,Democratic,No,33,4.4%,No,0
Alabama,Colbert,Joe Biden,Democratic,Yes,1184,92.1%,Yes,52
Alabama,Colbert,Uncommitted,Democratic,No,55,4.3%,No,0
Alabama,Colbert,Dean Phillips,Democratic,No,47,3.6%,No,0
Alabama,Conecuh,Joe Biden,Democratic,Yes,1263,86.6%,Yes,52
Alabama,Conecuh,Dean Phillips,Democratic,No,108,7.4%,No,0
Alabama,Conecuh,Uncommitted,Democratic,No,88,6.0%,No,0
Alabama,Coosa,Joe Biden,Democratic,Yes,405,88.6%,Yes,52
Alabama,Coosa,Dean Phillips,Democratic,No,31,6.8%,No,0
Alabama,Coosa,Uncommitted,Democratic,No,21,4.6%,No,0
Alabama,Covington,Joe Biden,Democratic,Yes,364,88.6%,Yes,52
Alabama,Covington,Uncommitted,Democratic,No,25,6.1%,No,0
Alabama,Covington,Dean Phillips,Democratic,No,22,5.3%,No,0
Alabama,Crenshaw,Joe Biden,Democratic,Yes,544,91.4%,Yes,52
Alabama,Crenshaw,Dean Phillips,Democratic,No,26,4.4%,No,0
Alabama,Crenshaw,Uncommitted,Democratic,No,25,4.2%,No,0
Alabama,Cullman,Joe Biden,Democratic,Yes,384,80.3%,Yes,52
Alabama,Cullman,Dean Phillips,Democratic,No,52,10.9%,No,0
Alabama,Cullman,Uncommitted,Democratic,No,42,8.8%,No,0
Alabama,Dale,Joe Biden,Democratic,Yes,566,89.8%,Yes,52
Alabama,Dale,Uncommitted,Democratic,No,39,6.2%,No,0
Alabama,Dale,Dean Phillips,Democratic,No,25,4.0%,No,0
Alabama,Dallas,Joe Biden,Democratic,Yes,4701,88.3%,Yes,52
Alabama,Dallas,Uncommitted,Democratic,No,363,6.8%,No,0
Alabama,Dallas,Dean Phillips,Democratic,No,260,4.9%,No,0
Alabama,DeKalb,Joe Biden,Democratic,Yes,314,80.7%,Yes,52
Alabama,DeKalb,Uncommitted,Democratic,No,49,12.6%,No,0
Alabama,DeKalb,Dean Phillips,Democratic,No,26,6.7%,No,0
Alabama,Elmore,Joe Biden,Democratic,Yes,1636,89.7%,Yes,52
Alabama,Elmore,Dean Phillips,Democratic,No,109,6.0%,No,0
Alabama,Elmore,Uncommitted,Democratic,No,79,4.3%,No,0
Alabama,Escambia,Joe Biden,Democratic,Yes,686,91.8%,Yes,52
Alabama,Escambia,Dean Phillips,Democratic,No,38,5.1%,No,0
Alabama,Escambia,Uncommitted,Democratic,No,23,3.1%,No,0
Alabama,Etowah,Joe Biden,Democratic,Yes,1239,90.8%,Yes,52
Alabama,Etowah,Uncommitted,Democratic,No,73,5.4%,No,0
Alabama,Etowah,Dean Phillips,Democratic,No,52,3.8%,No,0
Alabama,Fayette,Joe Biden,Democratic,Yes,240,89.9%,Yes,52
Alabama,Fayette,Dean Phillips,Democratic,No,14,5.2%,No,0
Alabama,Fayette,Uncommitted,Democratic,No,13,4.9%,No,0
Alabama,Franklin,Joe Biden,Democratic,Yes,186,86.5%,Yes,52
Alabama,Franklin,Uncommitted,Democratic,No,18,8.4%,No,0
Alabama,Franklin,Dean Phillips,Democratic,No,11,5.1%,No,0
Alabama,Geneva,Joe Biden,Democratic,Yes,279,90.0%,Yes,52
Alabama,Geneva,Uncommitted,Democratic,No,18,5.8%,No,0
Alabama,Geneva,Dean Phillips,Democratic,No,13,4.2%,No,0
Alabama,Greene,Joe Biden,Democratic,Yes,1462,87.0%,Yes,52
Alabama,Greene,Uncommitted,Democratic,No,140,8.3%,No,0
Alabama,Greene,Dean Phillips,Democratic,No,78,4.6%,No,0
Alabama,Hale,Joe Biden,Democratic,Yes,1184,80.2%,Yes,52
Alabama,Hale,Uncommitted,Democratic,No,192,13.0%,No,0
Alabama,Hale,Dean Phillips,Democratic,No,100,6.8%,No,0
Alabama,Henry,Joe Biden,Democratic,Yes,448,93.1%,Yes,52
